INSERT INTO Orders (order_id, order_price, order_date, return_date, duration_rent, customer_id, employee_id, payment_id, return_id, car_id) VALUES
('O00001', 350000, '2025-04-14', '2025-04-20', 6, 'CS00013', 'EP006', 'PM00001', 'RT00001', 'C069'),
('O00002', 2000000, '2024-08-21', '2024-08-26', 5, 'CS03479', 'EP007', 'PM00002', 'RT00002', 'C064'),
('O00003', 900000, '2025-10-28', '2025-10-30', 2, 'CS06609', 'EP004', 'PM00003', 'RT00003', 'C001'),
('O00004', 2000000, '2024-08-30', '2024-09-06', 7, 'CS06498', 'EP006', 'PM00004', 'RT00004', 'C054'),
('O00005', 200000, '2024-08-29', '2024-08-30', 1, 'CS03947', 'EP009', 'PM00005', 'RT00005', 'C013'),
('O00006', 400000, '2024-06-24', '2024-06-29', 5, 'CS02286', 'EP006', 'PM00006', 'RT00006', 'C045'),
('O00007', 2000000, '2025-09-08', '2025-09-14', 6, 'CS06366', 'EP006', 'PM00007', 'RT00007', 'C040'),
('O00008', 500000, '2024-12-27', '2024-12-30', 3, 'CS01301', 'EP007', 'PM00008', 'RT00008', 'C050'),
('O00009', 900000, '2025-02-24', '2025-03-01', 5, 'CS00625', 'EP002', 'PM00009', 'RT00009', 'C036'),
('O00010', 350000, '2024-09-20', '2024-09-23', 3, 'CS00590', 'EP010', 'PM00010', 'RT00010', 'C043'),
('O00011', 350000, '2025-08-20', '2025-08-26', 6, 'CS02241', 'EP005', 'PM00011', 'RT00011', 'C037'),
('O00012', 2000000, '2025-08-25', '2025-08-29', 4, 'CS06401', 'EP010', 'PM00012', 'RT00012', 'C040'),
('O00013', 1500000, '2024-11-27', '2024-12-02', 5, 'CS03366', 'EP007', 'PM00013', 'RT00013', 'C015'),
('O00014', 1200000, '2024-10-06', '2024-10-11', 5, 'CS07575', 'EP004', 'PM00014', 'RT00014', 'C087'),
('O00015', 1200000, '2024-10-10', '2024-10-11', 1, 'CS01989', 'EP009', 'PM00015', 'RT00015', 'C032'),
('O00016', 200000, '2024-05-16', '2024-05-19', 3, 'CS02058', 'EP002', 'PM00016', 'RT00016', 'C005'),
('O00017', 200000, '2025-09-05', '2025-09-08', 3, 'CS08417', 'EP004', 'PM00017', 'RT00017', 'C026'),
('O00018', 500000, '2024-07-01', '2024-07-06', 5, 'CS02331', 'EP005', 'PM00018', 'RT00018', 'C058'),
('O00019', 1500000, '2024-06-05', '2024-06-12', 7, 'CS08565', 'EP005', 'PM00019', 'RT00019', 'C097'),
('O00020', 2000000, '2024-12-09', '2024-12-16', 7, 'CS06523', 'EP004', 'PM00020', 'RT00020', 'C008'),
('O00021', 1750000, '2024-11-16', '2024-11-20', 4, 'CS02271', 'EP010', 'PM00021', 'RT00021', 'C052'),
('O00022', 1500000, '2025-09-19', '2025-09-25', 6, 'CS05990', 'EP010', 'PM00022', 'RT00022', 'C017'),
('O00023', 400000, '2025-09-21', '2025-09-25', 4, 'CS09418', 'EP001', 'PM00023', 'RT00023', 'C029'),
('O00024', 1500000, '2024-01-03', '2024-01-08', 5, 'CS09115', 'EP003', 'PM00024', 'RT00024', 'C063'),
('O00025', 1500000, '2025-11-04', '2025-11-10', 6, 'CS02445', 'EP010', 'PM00025', 'RT00025', 'C037'),
('O00026', 2000000, '2024-07-29', '2024-08-05', 7, 'CS04371', 'EP001', 'PM00026', 'RT00026', 'C091'),
('O00027', 500000, '2024-11-04', '2024-11-10', 6, 'CS00960', 'EP009', 'PM00027', 'RT00027', 'C019'),
('O00028', 350000, '2024-10-03', '2024-10-09', 6, 'CS09142', 'EP008', 'PM00028', 'RT00028', 'C066'),
('O00029', 700000, '2024-04-07', '2024-04-11', 4, 'CS02006', 'EP001', 'PM00029', 'RT00029', 'C099'),
('O00030', 1500000, '2024-12-03', '2024-12-09', 6, 'CS09814', 'EP002', 'PM00030', 'RT00030', 'C033'),
('O00031', 400000, '2024-03-16', '2024-03-23', 7, 'CS00918', 'EP003', 'PM00031', 'RT00031', 'C004'),
('O00032', 500000, '2025-03-12', '2025-03-15', 3, 'CS04657', 'EP008', 'PM00032', 'RT00032', 'C084'),
('O00033', 2000000, '2024-01-06', '2024-01-13', 7, 'CS03597', 'EP001', 'PM00033', 'RT00033', 'C078'),
('O00034', 2000000, '2024-09-15', '2024-09-20', 5, 'CS00339', 'EP006', 'PM00034', 'RT00034', 'C012'),
('O00035', 500000, '2024-07-29', '2024-08-05', 7, 'CS06786', 'EP002', 'PM00035', 'RT00035', 'C072'),
('O00036', 900000, '2025-03-29', '2025-04-01', 3, 'CS04273', 'EP010', 'PM00036', 'RT00036', 'C072'),
('O00037', 900000, '2024-06-21', '2024-06-27', 6, 'CS07293', 'EP001', 'PM00037', 'RT00037', 'C079'),
('O00038', 1200000, '2025-06-13', '2025-06-15', 2, 'CS04619', 'EP009', 'PM00038', 'RT00038', 'C042'),
('O00039', 900000, '2025-10-29', '2025-10-30', 1, 'CS01001', 'EP008', 'PM00039', 'RT00039', 'C027'),
('O00040', 2000000, '2025-02-02', '2025-02-06', 4, 'CS05682', 'EP006', 'PM00040', 'RT00040', 'C081'),
('O00041', 350000, '2024-02-03', '2024-02-07', 4, 'CS05030', 'EP003', 'PM00041', 'RT00041', 'C024'),
('O00042', 350000, '2025-02-01', '2025-02-06', 5, 'CS01267', 'EP004', 'PM00042', 'RT00042', 'C013'),
('O00043', 350000, '2025-05-26', '2025-06-02', 7, 'CS09010', 'EP010', 'PM00043', 'RT00043', 'C039'),
('O00044', 700000, '2025-10-13', '2025-10-16', 3, 'CS02095', 'EP004', 'PM00044', 'RT00044', 'C004'),
