INSERT INTO Payment (payment_id, payment_price, payment_status, payment_date) VALUES
('PM00001', 350000, 'paid', '2025-04-19'),
('PM00002', 2000000, 'paid', '2024-08-27'),
('PM00003', 900000, 'unpaid', NULL),
('PM00004', 2000000, 'paid', '2024-09-04'),
('PM00005', 200000, 'paid', '2024-08-30'),
('PM00006', 400000, 'paid', '2024-06-24'),
('PM00007', 2000000, 'paid', '2025-09-08'),
('PM00008', 500000, 'paid', '2025-01-02'),
('PM00009', 900000, 'paid', '2025-02-26'),
('PM00010', 350000, 'paid', '2024-09-20'),
('PM00011', 350000, 'paid', '2025-08-26'),
('PM00012', 2000000, 'paid', '2025-08-25'),
('PM00013', 1500000, 'unpaid', NULL),
('PM00014', 1200000, 'paid', '2024-10-06'),
('PM00015', 1200000, 'paid', '2024-10-10'),
('PM00016', 200000, 'paid', '2024-05-21'),
('PM00017', 200000, 'paid', '2025-09-09'),
('PM00018', 500000, 'paid', '2024-07-02'),
('PM00019', 1500000, 'paid', '2024-06-15'),
('PM00020', 2000000, 'paid', '2024-12-17'),
('PM00021', 1750000, 'paid', '2024-11-16'),
('PM00022', 1500000, 'paid', '2025-09-21'),
('PM00023', 400000, 'paid', '2025-09-26'),
('PM00024', 1500000, 'paid', '2024-01-08'),
('PM00025', 1500000, 'paid', '2025-11-07'),
('PM00026', 2000000, 'paid', '2024-08-06'),
('PM00027', 500000, 'paid', '2024-11-04'),
('PM00028', 350000, 'paid', '2024-10-06'),
('PM00029', 700000, 'paid', '2024-04-10'),
('PM00030', 1500000, 'unpaid', NULL),
('PM00031', 400000, 'paid', '2024-03-22'),
('PM00032', 500000, 'paid', '2025-03-15'),
('PM00033', 2000000, 'paid', '2024-01-10'),
('PM00034', 2000000, 'paid', '2024-09-15'),
('PM00035', 500000, 'paid', '2024-08-07'),
('PM00036', 900000, 'paid', '2025-04-04'),
('PM00037', 900000, 'paid', '2024-06-26'),
('PM00038', 1200000, 'paid', '2025-06-14'),
('PM00039', 900000, 'paid', '2025-11-02'),
('PM00040', 2000000, 'paid', '2025-02-02'),
('PM00041', 350000, 'paid', '2024-02-06'),
('PM00042', 350000, 'paid', '2025-02-02'),
('PM00043', 350000, 'paid', '2025-06-05'),
('PM00044', 700000, 'unpaid', NULL),
('PM00045', 200000, 'paid', '2025-11-30'),
('PM00046', 1200000, 'paid', '2024-02-28'),
('PM00047', 1500000, 'paid', '2025-08-07'),
('PM00048', 200000, 'paid', '2024-03-06'),
('PM00049', 900000, 'paid', '2024-11-22'),
('PM00050', 200000, 'paid', '2025-08-12'),
('PM00051', 500000, 'paid', '2024-03-03'),
('PM00052', 2000000, 'paid', '2025-05-22'),
('PM00053', 900000, 'paid', '2025-11-15'),
('PM00054', 2000000, 'paid', '2024-04-20'),
('PM00055', 200000, 'paid', '2025-07-14'),
('PM00056', 1200000, 'paid', '2024-09-17'),
('PM00057', 700000, 'paid', '2024-12-23'),
('PM00058', 400000, 'paid', '2024-06-19'),
('PM00059', 200000, 'paid', '2024-02-26'),
('PM00060', 900000, 'paid', '2025-03-27'),
