INSERT INTO Penalty (penalty_id, penalty_price, payment_id, type_of_violation, return_id) VALUES
('PN00001', 200000, 'PM00513', 'Terlambat mengembalikan', 'RT00513'),
('PN00002', 50000, 'PM00816', 'Kecelakaan', 'RT00816'),
('PN00003', 200000, 'PM00659', 'Kecelakaan', 'RT00659'),
('PN00004', 100000, 'PM00977', 'Terlambat mengembalikan', 'RT00977'),
('PN00005', 150000, 'PM00443', 'Kerusakan ringan', 'RT00443'),
('PN00006', 100000, 'PM00106', 'Terlambat mengembalikan', 'RT00106'),
('PN00007', 100000, 'PM00920', 'Terlambat mengembalikan', 'RT00920'),
('PN00008', 300000, 'PM00003', 'Kerusakan ringan', 'RT00003'),
('PN00009', 100000, 'PM00704', 'Kerusakan ringan', 'RT00704'),
('PN00010', 300000, 'PM00112', 'Kerusakan ringan', 'RT00112'),
('PN00011', 200000, 'PM00596', 'Kerusakan ringan', 'RT00596'),
('PN00012', 300000, 'PM00269', 'Terlambat mengembalikan', 'RT00269'),
('PN00013', 300000, 'PM00005', 'Kecelakaan', 'RT00005'),
('PN00014', 100000, 'PM00744', 'Kecelakaan', 'RT00744'),
('PN00015', 100000, 'PM00602', 'Kecelakaan', 'RT00602'),
('PN00016', 50000, 'PM00312', 'Terlambat mengembalikan', 'RT00312'),
('PN00017', 200000, 'PM00398', 'Kecelakaan', 'RT00398'),
('PN00018', 100000, 'PM00502', 'Terlambat mengembalikan', 'RT00502'),
('PN00019', 300000, 'PM00042', 'Kerusakan ringan', 'RT00042'),
('PN00020', 100000, 'PM00807', 'Terlambat mengembalikan', 'RT00807'),
('PN00021', 300000, 'PM00974', 'Terlambat mengembalikan', 'RT00974'),
('PN00022', 50000, 'PM00951', 'Kerusakan ringan', 'RT00951'),
('PN00023', 200000, 'PM00086', 'Kecelakaan', 'RT00086'),
('PN00024', 50000, 'PM00612', 'Kecelakaan', 'RT00612'),
('PN00025', 300000, 'PM00919', 'Terlambat mengembalikan', 'RT00919'),
('PN00026', 200000, 'PM00786', 'Kecelakaan', 'RT00786'),
('PN00027', 100000, 'PM00700', 'Kecelakaan', 'RT00700'),
('PN00028', 100000, 'PM00556', 'Terlambat mengembalikan', 'RT00556'),
('PN00029', 50000, 'PM00209', 'Kerusakan ringan', 'RT00209'),
('PN00030', 100000, 'PM00408', 'Kerusakan ringan', 'RT00408'),
('PN00031', 100000, 'PM00772', 'Kecelakaan', 'RT00772'),
('PN00032', 150000, 'PM00123', 'Kerusakan ringan', 'RT00123'),
('PN00033', 150000, 'PM00809', 'Kerusakan ringan', 'RT00809'),
('PN00034', 300000, 'PM00558', 'Kerusakan ringan', 'RT00558'),
('PN00035', 150000, 'PM00447', 'Kecelakaan', 'RT00447'),
('PN00036', 100000, 'PM00360', 'Kerusakan ringan', 'RT00360'),
