INSERT INTO Return (return_id, return_car_date, additional_cost) VALUES
('RT00001', '2025-04-20', 0),
('RT00002', '2024-08-26', 0),
('RT00003', '2025-10-31', 200000),
('RT00004', '2024-09-06', 0),
('RT00005', '2024-09-02', 150000),
('RT00006', '2024-07-01', 200000),
('RT00007', '2025-09-17', 50000),
('RT00008', '2024-12-30', 0),
('RT00009', '2025-03-01', 0),
('RT00010', '2024-09-23', 0),
('RT00011', '2025-08-26', 0),
('RT00012', '2025-08-29', 0),
('RT00013', '2024-12-02', 0),
('RT00014', '2024-10-11', 0),
('RT00015', '2024-10-13', 50000),
('RT00016', '2024-05-19', 0),
('RT00017', '2025-09-08', 0),
('RT00018', '2024-07-06', 0),
('RT00019', '2024-06-12', 0),
('RT00020', '2024-12-16', 0),
('RT00021', '2024-11-20', 0),
('RT00022', '2025-09-25', 0),
('RT00023', '2025-09-25', 0),
('RT00024', '2024-01-08', 0),
('RT00025', '2025-11-10', 0),
('RT00026', '2024-08-06', 200000),
('RT00027', '2024-11-13', 50000),
('RT00028', '2024-10-14', 100000),
('RT00029', '2024-04-15', 100000),
('RT00030', '2024-12-09', 0),
('RT00031', '2024-03-26', 200000),
('RT00032', '2025-03-15', 0),
('RT00033', '2024-01-16', 50000),
('RT00034', '2024-09-20', 0),
('RT00035', '2024-08-05', 0),
('RT00036', '2025-04-01', 0),
('RT00037', '2024-06-27', 0),
('RT00038', '2025-06-20', 100000),
('RT00039', '2025-10-30', 0),
('RT00040', '2025-02-07', 150000),
('RT00041', '2024-02-07', 0),
('RT00042', '2025-02-07', 100000),
('RT00043', '2025-06-03', 150000),
('RT00044', '2025-10-18', 100000),
('RT00045', '2025-11-28', 150000),
('RT00046', '2024-02-26', 0),
('RT00047', '2025-08-09', 0),
('RT00048', '2024-03-08', 0),
('RT00049', '2024-11-21', 100000),
('RT00050', '2025-08-17', 0),
('RT00051', '2024-03-07', 100000),
('RT00052', '2025-05-23', 200000),
('RT00053', '2025-11-18', 0),
('RT00054', '2024-04-22', 50000),
('RT00055', '2025-07-12', 0),
('RT00056', '2024-09-18', 150000),
('RT00057', '2024-12-20', 0),
('RT00058', '2024-06-16', 0),
('RT00059', '2024-02-26', 100000),
('RT00060', '2025-04-02', 100000),
('RT00061', '2025-04-11', 0),
('RT00062', '2025-01-29', 0),
('RT00063', '2024-05-03', 0),
('RT00064', '2024-12-22', 100000),
('RT00065', '2025-09-09', 0),
('RT00066', '2025-04-12', 150000),
('RT00067', '2025-09-29', 0),
('RT00068', '2024-02-11', 100000),
('RT00069', '2025-01-07', 200000),
('RT00070', '2025-12-08', 0),
('RT00071', '2025-12-23', 0),
('RT00072', '2025-12-06', 0),
('RT00073', '2025-03-13', 50000),
('RT00074', '2025-07-29', 0),
('RT00075', '2025-11-27', 0),
('RT00076', '2024-10-17', 50000),
('RT00077', '2024-02-10', 0),
('RT00078', '2024-05-06', 0),
('RT00079', '2025-09-05', 200000),
('RT00080', '2024-10-01', 50000),
('RT00081', '2024-10-10', 200000),
('RT00082', '2024-01-23', 0),
('RT00083', '2025-07-29', 0),
('RT00084', '2025-06-29', 0),
